Date,Price,Open,High,Low,Change %
07/31/2011,0.557,0.557,0.557,0.557,-44.91%
07/24/2011,1.011,1.011,1.011,1.011,9.30%
07/17/2011,0.925,0.925,0.925,0.925,-19.64%
07/10/2011,1.151,1.151,1.151,1.151,14.07%
07/03/2011,1.009,1.009,1.009,1.009,0.80%
06/26/2011,1.001,1.001,1.001,1.001,-6.36%
06/19/2011,1.069,1.069,1.069,1.069,-6.80%
06/12/2011,1.147,1.147,1.147,1.147,16.21%
06/05/2011,0.987,0.987,0.987,0.987,10.90%
05/29/2011,0.890,0.890,0.890,0.890,4.34%
05/22/2011,0.853,0.853,0.853,0.853,-9.54%
05/15/2011,0.943,0.943,0.943,0.943,2.39%
05/08/2011,0.921,0.921,0.921,0.921,15.12%
05/01/2011,0.800,0.800,0.800,0.800,-5.10%
04/24/2011,0.843,0.843,0.843,0.843,2.80%
04/17/2011,0.820,0.820,0.820,0.820,3.40%
04/10/2011,0.793,0.793,0.793,0.793,-2.82%
04/03/2011,0.816,0.816,0.816,0.816,16.41%
03/27/2011,0.701,0.701,0.701,0.701,-3.84%
03/20/2011,0.729,0.729,0.729,0.729,16.27%
03/13/2011,0.627,0.627,0.627,0.627,7.73%
03/06/2011,0.582,0.582,0.582,0.582,-10.19%
02/27/2011,0.648,0.648,0.648,0.648,25.10%
02/20/2011,0.518,0.518,0.518,0.518,-4.25%
02/13/2011,0.541,0.541,0.541,0.541,-10.87%
02/06/2011,0.607,0.607,0.607,0.607,-2.88%
01/30/2011,0.625,0.625,0.625,0.625,-3.10%
01/23/2011,0.645,0.645,0.645,0.645,25.73%
01/16/2011,0.513,0.513,0.513,0.513,19.86%
01/09/2011,0.428,0.428,0.428,0.428,46.08%
01/02/2011,0.293,0.293,0.293,0.293,1.03%
12/26/2010,0.290,0.290,0.290,0.290,2.47%
12/19/2010,0.283,0.283,0.283,0.283,-12.11%
12/12/2010,0.322,0.322,0.322,0.322,-23.15%
12/05/2010,0.419,0.419,0.419,0.419,-4.56%
11/28/2010,0.439,0.439,0.439,0.439,-0.68%
11/21/2010,0.442,0.442,0.442,0.442,-25.21%
11/14/2010,0.591,0.591,0.591,0.591,-4.52%
11/07/2010,0.619,0.619,0.619,0.619,-2.67%
10/31/2010,0.636,0.636,0.636,0.636,0.16%
10/24/2010,0.635,0.635,0.635,0.635,19.59%
10/17/2010,0.531,0.531,0.531,0.531,0.95%
10/10/2010,0.526,0.526,0.526,0.526,17.15%
10/03/2010,0.449,0.449,0.449,0.449,-16.07%
09/26/2010,0.535,0.535,0.535,0.535,50.70%
09/19/2010,0.355,0.355,0.355,0.355,2.60%
09/12/2010,0.346,0.346,0.346,0.346,27.21%
09/05/2010,0.272,0.272,0.272,0.272,0.74%
08/29/2010,0.270,0.270,0.270,0.270,6.30%
08/22/2010,0.254,0.254,0.254,0.254,2.01%
08/15/2010,0.249,0.249,0.249,0.249,-9.45%
08/08/2010,0.275,0.275,0.275,0.275,-9.54%
08/01/2010,0.304,0.304,0.304,0.304,10.95%
07/25/2010,0.274,0.274,0.274,0.274,-10.16%
07/18/2010,0.305,0.305,0.305,0.305,17.76%
07/11/2010,0.259,0.259,0.259,0.259,-4.07%
07/04/2010,0.270,0.270,0.270,0.270,47.54%
